City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,port blair,11.6667,92.75,27.02,89,75,5.14,IN,1693947865
112,nishinoomote,30.7333,131.0,27.29,79,84,1.45,JP,1693947865
113,ancud,-41.8697,-73.8203,8.93,92,100,8.97,CL,1693947865
114,whitehorse,60.7161,-135.0538,14.5,56,40,1.54,CA,1693947865
115,hamilton,39.1834,-84.5333,34.29,54,64,2.68,US,1693947609
116,kikwit,-5.041,18.8162,24.9,67,10,1.69,CD,1693947866
117,udhampur,32.9333,75.1333,22.41,75,0,3.32,IN,1693947866
118,gryazovets,58.88,40.2525,15.11,75,100,4.0,RU,1693947866
119,melfi,40.9965,15.6514,18.02,75,26,3.98,IT,1693947866
120,tamanrasset,22.785,5.5228,26.95,32,40,9.77,DZ,1693947866
121,invercargill,-46.4,168.35,9.45,100,90,1.34,NZ,1693947783
122,peto,20.1333,-88.9167,38.56,31,32,1.89,MX,1693947866
123,fale old settlement,-9.3852,-171.2468,27.91,80,60,8.46,TK,1693947866
124,villa gesell,-37.2639,-56.973,7.47,63,21,4.48,AR,1693947867
125,kitimat,54.0524,-128.6534,16.21,96,100,0.52,CA,1693947867
126,madimba,-10.4,40.3333,22.18,87,2,1.92,TZ,1693947867
127,hobyo,5.3505,48.5268,25.79,84,42,12.47,SO,1693947867
128,lebu,-37.6167,-73.65,9.81,94,100,10.8,CL,1693947698
129,new norfolk,-42.7826,147.0587,10.72,80,100,2.15,AU,1693947867
130,melekeok village,7.4957,134.6367,27.35,82,88,3.34,PW,1693947867
131,banda aceh,5.5577,95.3222,25.63,80,100,4.79,ID,1693947867
132,margaret river,-33.95,115.0667,13.38,56,81,9.7,AU,1693947817
133,qaqortoq,60.7167,-46.0333,6.65,98,100,1.67,GL,1693947868
134,bontang,0.1333,117.5,24.72,90,25,2.6,ID,1693947868
135,cabo san lucas,22.8909,-109.9124,35.66,62,0,4.12,MX,1693947868
136,kununurra,-15.7667,128.7333,17.99,88,64,3.6,AU,1693947868
137,las cruces,32.3123,-106.7783,36.42,17,0,3.09,US,1693947868
138,hawaiian paradise park,19.5933,-154.9731,29.29,71,100,3.09,US,1693947869
139,vilyuchinsk,52.9306,158.4028,6.15,68,40,0.39,RU,1693947869
140,pekanbaru,0.5333,101.45,26.18,100,100,0.0,ID,1693947869
141,micheweni,-4.9667,39.8333,24.34,85,22,5.33,TZ,1693947869
142,juye,35.3947,116.0883,21.22,87,0,1.15,CN,1693947869
143,cidreira,-30.1811,-50.2056,13.74,72,88,4.71,BR,1693947869
144,la ronge,55.1001,-105.2842,17.12,31,40,3.09,CA,1693947869
145,paita,-5.0892,-81.1144,22.29,75,35,7.87,PE,1693947869
146,richards bay,-28.783,32.0377,18.91,79,100,8.88,ZA,1693947870
147,bayanhongor,46.7167,100.1167,13.79,47,100,1.92,MN,1693947870
148,geraldton,-28.7667,114.6,16.23,82,40,4.63,AU,1693947870
149,al jawf,29.5,38.75,33.28,14,32,1.45,SA,1693947870
150,bafoulabe,13.8065,-10.8321,25.35,89,78,1.74,ML,1693947870
151,taoudenni,22.6783,-3.9836,33.56,36,71,3.05,ML,1693947870
152,mejit,10.2753,170.8646,28.28,69,7,5.66,MH,1693947870
153,avesta,60.1455,16.1679,15.33,91,82,1.55,SE,1693947870
154,holualoa,19.6228,-155.9522,28.26,74,0,4.12,US,1693947871
155,tsukawaki,33.2667,131.15,22.62,99,73,0.83,JP,1693947871
156,mo i rana,66.3128,14.1428,9.62,93,75,1.54,NO,1693947784
